Phrase	SoundsLike	IPA	DisplayAs
gp-two	gee-pee-two		GP2
gp-three	gee-pee-three		GP3
io-one	eye-oh-one		IO1
io-two	eye-oh-two		IO2
asg	ey-es-gee		ASG
finops	fin-ops		FinOps
ec-two	ee-see-two		EC2
ebs	ee-bee-ess		EBS
s-three	ess-three		S3
iam	eye-am		IAM
vpc	vee-pee-see		VPC
rds	ar-dee-ess		RDS
lambda	lamb-duh		Lambda
cloudformation	cloud-formation		CloudFormation
cloudwatch	cloud-watch		CloudWatch
cloudtrail	cloud-trail		CloudTrail
autoscaling	auto-scaling		AutoScaling
elasticache	elastic-cash		ElastiCache
efs	ee-eff-ess		EFS
fsx	eff-ess-ex		FSx
route-fifty-three	route-fifty-three		Route53
directconnect	direct-connect		DirectConnect
apigateway	A-P-I-gateway		APIGateway
cognitoidentity	cognito-identity		CognitoIdentity
kinesis	kih-nee-sis		Kinesis
dynamodb	dynamo-D-B		DynamoDB
sqs	ess-queue-ess		SQS
sns	ess-en-ess		SNS
opsworks	ops-works		OpsWorks
elasticbeanstalk	elastic-beanstalk		ElasticBeanstalk
cloudfront	cloud-front		CloudFront
waf	waff		WAF
shield	sheeld		Shield
kms	kay-em-ess		KMS
secretsmanager	secrets-manager		SecretsManager
certificatemanager	certificate-manager		CertificateManager
resourcegroups	resource-groups		ResourceGroups
budgets	bud-jets		Budgets
costexplorer	cost-explorer		CostExplorer
reservedinstances	reserved-instances		ReservedInstances
savingsplans	savings-plans		SavingsPlans
rightsizing	right-sizing		Rightsizing
tagging	tag-ing		Tagging
spotinstances	spot-instances		SpotInstances
aurora	uh-roar-uh		Aurora
redshift	red-shift		Redshift
athena	uh-thee-nuh		Athena
quicksight	quick-sight		QuickSight
glue	gloo		Glue
emr	ee-em-ar		EMR
sagemaker	sage-maker		SageMaker
stepfunctions	step-functions		StepFunctions
fargate	far-gate		Fargate
eks	ee-kay-ess		EKS
ecs	ee-see-ess		ECS
ecr	ee-see-ar		ECR
apprunner	app-runner		AppRunner
kpi	kay-pee-eye		KPI
roi	ar-oh-eye		ROI
tco	tee-see-oh		TCO
sla	ess-el-ay		SLA
sso	ess-ess-oh		SSO
mfa	em-eff-ay		MFA
api	ay-pee-eye		API
devops	dev-ops		DevOps
agile	a-jile		Agile
scrum	skrum		Scrum
kanban	kan-ban		Kanban
siem	sim		SIEM
soar	sore		SOAR
xdr	ex-dee-ar		XDR
soc	sock		SOC
cspm	see-ess-pee-em		CSPM
cwpp	see-dub-pee-pee		CWPP
casb	kas-bee		CASB
dlp	dee-el-pee		DLP
pam	pam		PAM
rbac	ar-back		RBAC
oauth	oh-auth		OAuth
saml	sam-el		SAML
firewall	fire-wall		Firewall
vpn	vee-pee-en		VPN
dns	dee-en-ess		DNS
tee-cee-pee-eye-pee	tee-see-pee-eye-pee		TCP/IP
udp	you-dee-pee		UDP
bgp	bee-gee-pee		BGP
wan	wan		WAN
lan	lan		LAN
vlan	vee-lan		VLAN
nac	nack		NAC
byod	bee-yod		BYOD
iot	eye-oh-tee		IoT
ay-eye-em-el	ay-eye-em-el		AI/ML
rpa	ar-pee-ay		RPA
crm	see-ar-em		CRM
erp	ee-ar-pee		ERP
sap	sap		SAP
paas	pass		PaaS
saas	sass		SaaS
iaas	eye-ass		IaaS
